"Year","Type","NAME","Candidate","Votes","Party","Cast"
"2016","State Representative","54","FREDDIE JOE NICHOLS III",1030,"IND","Early"
"2016","State Representative","54","FREDDIE JOE NICHOLS III",1130,"IND","ElectionDay"
"2016","State Representative","55","CATHRYNN N BROWN",9280,"REP","Total"
"2016","State Representative","55","CATHRYNN N BROWN",543,"REP","Absentee"
"2016","State Representative","55","CATHRYNN N BROWN",5195,"REP","Early"
"2016","State Representative","55","CATHRYNN N BROWN",3542,"REP","ElectionDay"
"2016","State Representative","56","ZACH J COOK",7672,"REP","Total"
"2016","State Representative","56","ZACH J COOK",605,"REP","Absentee"
"2016","State Representative","56","ZACH J COOK",4075,"REP","Early"
"2016","State Representative","56","ZACH J COOK",2992,"REP","ElectionDay"
"2016","State Representative","57","JASON CARL HARPER",6117,"REP","Total"
"2016","State Representative","57","JASON CARL HARPER",543,"REP","Absentee"
"2016","State Representative","57","JASON CARL HARPER",4413,"REP","Early"
"2016","State Representative","57","JASON CARL HARPER",1161,"REP","ElectionDay"
"2016","State Representative","57","DONNA I TILLMAN",5013,"DEM","Total"
"2016","State Representative","57","DONNA I TILLMAN",418,"DEM","Absentee"
"2016","State Representative","57","DONNA I TILLMAN",3485,"DEM","Early"
"2016","State Representative","57","DONNA I TILLMAN",1110,"DEM","ElectionDay"
"2016","State Representative","58","CANDY SPENCE EZZELL",5001,"REP","Total"
"2016","State Representative","58","CANDY SPENCE EZZELL",687,"REP","Absentee"
"2016","State Representative","58","CANDY SPENCE EZZELL",2053,"REP","Early"
"2016","State Representative","58","CANDY SPENCE EZZELL",2261,"REP","ElectionDay"
"2016","State Representative","59","RICHARD JAMES GARCIA",3465,"DEM","Total"
"2016","State Representative","59","RICHARD JAMES GARCIA",510,"DEM","Absentee"
"2016","State Representative","59","RICHARD JAMES GARCIA",1660,"DEM","Early"
"2016","State Representative","59","RICHARD JAMES GARCIA",1295,"DEM","ElectionDay"
"2016","State Representative","59","GREG NIBERT",8594,"REP","Total"
"2016","State Representative","59","GREG NIBERT",1376,"REP","Absentee"
"2016","State Representative","59","GREG NIBERT",4447,"REP","Early"
"2016","State Representative","59","GREG NIBERT",2771,"REP","ElectionDay"
"2016","State Representative","60","TIM D LEWIS",9824,"REP","Total"
"2016","State Representative","60","TIM D LEWIS",1006,"REP","Absentee"
"2016","State Representative","60","TIM D LEWIS",7072,"REP","Early"
"2016","State Representative","60","TIM D LEWIS",1746,"REP","ElectionDay"
"2016","State Representative","61","DAVID M GALLEGOS",4735,"REP","Total"
"2016","State Representative","61","DAVID M GALLEGOS",256,"REP","Absentee"
"2016","State Representative","61","DAVID M GALLEGOS",1992,"REP","Early"
"2016","State Representative","61","DAVID M GALLEGOS",2487,"REP","ElectionDay"
"2016","State Representative","62","LARRY R SCOTT",7948,"REP","Total"
"2016","State Representative","62","LARRY R SCOTT",500,"REP","Absentee"
"2016","State Representative","62","LARRY R SCOTT",4775,"REP","Early"
"2016","State Representative","62","LARRY R SCOTT",2673,"REP","ElectionDay"
"2016","State Representative","63","GEORGE DODGE JR",5142,"DEM","Total"
"2016","State Representative","63","GEORGE DODGE JR",663,"DEM","Absentee"
"2016","State Representative","63","GEORGE DODGE JR",1798,"DEM","Early"
"2016","State Representative","63","GEORGE DODGE JR",2681,"DEM","ElectionDay"
"2016","State Representative","64","RANDAL S CROWDER",7732,"REP","Total"
"2016","State Representative","64","RANDAL S CROWDER",438,"REP","Absentee"
"2016","State Representative","64","RANDAL S CROWDER",4559,"REP","Early"
"2016","State Representative","64","RANDAL S CROWDER",2735,"REP","ElectionDay"
"2016","State Representative","65","DERRICK J LENTE",7162,"DEM","Total"
"2016","State Representative","65","DERRICK J LENTE",487,"DEM","Absentee"
"2016","State Representative","65","DERRICK J LENTE",2053,"DEM","Early"
"2016","State Representative","65","DERRICK J LENTE",4622,"DEM","ElectionDay"
"2016","State Representative","66","BOB WOOLEY",8427,"REP","Total"
"2016","State Representative","66","BOB WOOLEY",1643,"REP","Absentee"
"2016","State Representative","66","BOB WOOLEY",3617,"REP","Early"
"2016","State Representative","66","BOB WOOLEY",3167,"REP","ElectionDay"
"2016","State Representative","67","DENNIS J ROCH",8464,"REP","Total"
"2016","State Representative","67","DENNIS J ROCH",1077,"REP","Absentee"
"2016","State Representative","67","DENNIS J ROCH",3248,"REP","Early"
"2016","State Representative","67","DENNIS J ROCH",4139,"REP","ElectionDay"
"2016","State Representative","68","MONICA C YOUNGBLOOD",9637,"REP","Total"
"2016","State Representative","68","MONICA C YOUNGBLOOD",1053,"REP","Absentee"
"2016","State Representative","68","MONICA C YOUNGBLOOD",6674,"REP","Early"
"2016","State Representative","68","MONICA C YOUNGBLOOD",1910,"REP","ElectionDay"
"2016","State Representative","69","HARRY GARCIA",6155,"DEM","Total"
"2016","State Representative","69","HARRY GARCIA",250,"DEM","Absentee"
"2016","State Representative","69","HARRY GARCIA",1807,"DEM","Early"
"2016","State Representative","69","HARRY GARCIA",4098,"DEM","ElectionDay"
"2016","State Representative","70","TOMAS E SALAZAR",8125,"DEM","Total"
"2016","State Representative","70","TOMAS E SALAZAR",568,"DEM","Absentee"
"2016","State Representative","70","TOMAS E SALAZAR",3575,"DEM","Early"
"2016","State Representative","70","TOMAS E SALAZAR",3982,"DEM","ElectionDay"
"2016","State Senator","1","REBECCA MORGAN",4834,"DEM","Total"
"2016","State Senator","1","REBECCA MORGAN",307,"DEM","Absentee"
"2016","State Senator","1","REBECCA MORGAN",2608,"DEM","Early"
"2016","State Senator","1","REBECCA MORGAN",1919,"DEM","ElectionDay"
"2016","State Senator","1","WILLIAM E SHARER",11170,"REP","Total"
"2016","State Senator","1","WILLIAM E SHARER",807,"REP","Absentee"
"2016","State Senator","1","WILLIAM E SHARER",7013,"REP","Early"
"2016","State Senator","1","WILLIAM E SHARER",3350,"REP","ElectionDay"
"2016","State Senator","2","STEVEN P NEVILLE",15057,"REP","Total"
"2016","State Senator","2","STEVEN P NEVILLE",975,"REP","Absentee"
"2016","State Senator","2","STEVEN P NEVILLE",9060,"REP","Early"
"2016","State Senator","2","STEVEN P NEVILLE",5022,"REP","ElectionDay"
"2016","State Senator","3","JOHN PINTO",12519,"DEM","Total"
"2016","State Senator","3","JOHN PINTO",615,"DEM","Absentee"
"2016","State Senator","3","JOHN PINTO",3838,"DEM","Early"
"2016","State Senator","3","JOHN PINTO",8066,"DEM","ElectionDay"
"2016","State Senator","4","GEORGE K MUNOZ",12029,"DEM","Total"
"2016","State Senator","4","GEORGE K MUNOZ",927,"DEM","Absentee"
"2016","State Senator","4","GEORGE K MUNOZ",3412,"DEM","Early"
"2016","State Senator","4","GEORGE K MUNOZ",7690,"DEM","ElectionDay"
"2016","State Senator","5","RICHARD C MARTINEZ",15535,"DEM","Total"
"2016","State Senator","5","RICHARD C MARTINEZ",819,"DEM","Absentee"
"2016","State Senator","5","RICHARD C MARTINEZ",7482,"DEM","Early"
"2016","State Senator","5","RICHARD C MARTINEZ",7234,"DEM","ElectionDay"
"2016","State Senator","6","CARLOS R CISNEROS",17697,"DEM","Total"
"2016","State Senator","6","CARLOS R CISNEROS",948,"DEM","Absentee"
"2016","State Senator","6","CARLOS R CISNEROS",9912,"DEM","Early"
"2016","State Senator","6","CARLOS R CISNEROS",6837,"DEM","ElectionDay"
"2016","State Senator","7","JOHN PATRICK WOODS",12778,"REP","Total"
"2016","State Senator","7","JOHN PATRICK WOODS",785,"REP","Absentee"
"2016","State Senator","7","JOHN PATRICK WOODS",6722,"REP","Early"
"2016","State Senator","7","JOHN PATRICK WOODS",5271,"REP","ElectionDay"
"2016","State Senator","8","PETE CAMPOS",14258,"DEM","Total"
"2016","State Senator","8","PETE CAMPOS",1370,"DEM","Absentee"
"2016","State Senator","8","PETE CAMPOS",5334,"DEM","Early"
"2016","State Senator","8","PETE CAMPOS",7554,"DEM","ElectionDay"
"2016","State Senator","9","JOHN M SAPIEN",12724,"DEM","Total"
"2016","State Senator","9","JOHN M SAPIEN",1330,"DEM","Absentee"
"2016","State Senator","9","JOHN M SAPIEN",9189,"DEM","Early"
"2016","State Senator","9","JOHN M SAPIEN",2205,"DEM","ElectionDay"
"2016","State Senator","9","DIEGO L ESPINOZA",12534,"REP","Total"
"2016","State Senator","9","DIEGO L ESPINOZA",1412,"REP","Absentee"
"2016","State Senator","9","DIEGO L ESPINOZA",8767,"REP","Early"
"2016","State Senator","9","DIEGO L ESPINOZA",2355,"REP","ElectionDay"
"2016","State Senator","10","DAVID J SIMON",10151,"DEM","Total"
"2016","State Senator","10","DAVID J SIMON",923,"DEM","Absentee"
"2016","State Senator","10","DAVID J SIMON",7171,"DEM","Early"
"2016","State Senator","10","DAVID J SIMON",2057,"DEM","ElectionDay"
"2016","State Senator","10","CANDACE RUTH GOULD",10530,"REP","Total"
"2016","State Senator","10","CANDACE RUTH GOULD",1158,"REP","Absentee"
"2016","State Senator","10","CANDACE RUTH GOULD",7249,"REP","Early"
"2016","State Senator","10","CANDACE RUTH GOULD",2123,"REP","ElectionDay"
"2016","State Senator","11","LINDA M LOPEZ",8776,"DEM","Total"
"2016","State Senator","11","LINDA M LOPEZ",548,"DEM","Absentee"
"2016","State Senator","11","LINDA M LOPEZ",5355,"DEM","Early"
"2016","State Senator","11","LINDA M LOPEZ",2873,"DEM","ElectionDay"
"2016","State Senator","12","GERALD P ORTIZ Y PINO",12922,"DEM","Total"
"2016","State Senator","12","GERALD P ORTIZ Y PINO",1001,"DEM","Absentee"
"2016","State Senator","12","GERALD P ORTIZ Y PINO",8085,"DEM","Early"
"2016","State Senator","12","GERALD P ORTIZ Y PINO",3836,"DEM","ElectionDay"
"2016","State Senator","13","AUBREY B DUNN",7294,"REP","Total"
"2016","State Senator","13","AUBREY B DUNN",907,"REP","Absentee"
"2016","State Senator","13","AUBREY B DUNN",4644,"REP","Early"
"2016","State Senator","13","AUBREY B DUNN",1743,"REP","ElectionDay"
"2016","State Senator","13","BILL B O'NEILL",14089,"DEM","Total"
"2016","State Senator","13","BILL B O'NEILL",1396,"DEM","Absentee"
"2016","State Senator","13","BILL B O'NEILL",9676,"DEM","Early"
"2016","State Senator","13","BILL B O'NEILL",3017,"DEM","ElectionDay"
"2016","State Senator","14","MICHAEL PADILLA",9668,"DEM","Total"
"2016","State Senator","14","MICHAEL PADILLA",754,"DEM","Absentee"
"2016","State Senator","14","MICHAEL PADILLA",5598,"DEM","Early"
"2016","State Senator","14","MICHAEL PADILLA",3316,"DEM","ElectionDay"
"2016","State Senator","15","ERIC LYON BURTON",8981,"REP","Total"
"2016","State Senator","15","ERIC LYON BURTON",1200,"REP","Absentee"
"2016","State Senator","15","ERIC LYON BURTON",5707,"REP","Early"
"2016","State Senator","15","ERIC LYON BURTON",2074,"REP","ElectionDay"
"2016","State Senator","15","DANIEL A IVEY-SOTO",11321,"DEM","Total"
"2016","State Senator","15","DANIEL A IVEY-SOTO",1148,"DEM","Absentee"
"2016","State Senator","15","DANIEL A IVEY-SOTO",7500,"DEM","Early"
"2016","State Senator","15","DANIEL A IVEY-SOTO",2673,"DEM","ElectionDay"
"2016","State Senator","16","CISCO MCSORLEY",16721,"DEM","Total"
"2016","State Senator","16","CISCO MCSORLEY",1636,"DEM","Absentee"
"2016","State Senator","16","CISCO MCSORLEY",11549,"DEM","Early"
"2016","State Senator","16","CISCO MCSORLEY",3536,"DEM","ElectionDay"
"2016","State Senator","17","MIMI STEWART",8456,"DEM","Total"
"2016","State Senator","17","MIMI STEWART",789,"DEM","Absentee"
"2016","State Senator","17","MIMI STEWART",4929,"DEM","Early"
"2016","State Senator","17","MIMI STEWART",2738,"DEM","ElectionDay"
"2016","State Senator","18","LISA TORRACO",11750,"REP","Total"
"2016","State Senator","18","LISA TORRACO",1683,"REP","Absentee"
"2016","State Senator","18","LISA TORRACO",7552,"REP","Early"
"2016","State Senator","18","LISA TORRACO",2515,"REP","ElectionDay"
"2016","State Senator","18","BILL G TALLMAN",12203,"DEM","Total"
"2016","State Senator","18","BILL G TALLMAN",1437,"DEM","Absentee"
"2016","State Senator","18","BILL G TALLMAN",8302,"DEM","Early"
"2016","State Senator","18","BILL G TALLMAN",2464,"DEM","ElectionDay"
"2016","State Senator","19","HAROLD W MURPHREE",9415,"DEM","Total"
"2016","State Senator","19","HAROLD W MURPHREE",937,"DEM","Absentee"
"2016","State Senator","19","HAROLD W MURPHREE",6162,"DEM","Early"
"2016","State Senator","19","HAROLD W MURPHREE",2316,"DEM","ElectionDay"
"2016","State Senator","19","JAMES P WHITE",14905,"REP","Total"
"2016","State Senator","19","JAMES P WHITE",1503,"REP","Absentee"
"2016","State Senator","19","JAMES P WHITE",9260,"REP","Early"
"2016","State Senator","19","JAMES P WHITE",4142,"REP","ElectionDay"
"2016","State Senator","20","WILLIAM H PAYNE",16893,"REP","Total"
"2016","State Senator","20","WILLIAM H PAYNE",2202,"REP","Absentee"
"2016","State Senator","20","WILLIAM H PAYNE",11267,"REP","Early"
"2016","State Senator","20","WILLIAM H PAYNE",3424,"REP","ElectionDay"
"2016","State Senator","21","MARK DAVID MOORES",14164,"REP","Total"
"2016","State Senator","21","MARK DAVID MOORES",1889,"REP","Absentee"
"2016","State Senator","21","MARK DAVID MOORES",9793,"REP","Early"
"2016","State Senator","21","MARK DAVID MOORES",2482,"REP","ElectionDay"
"2016","State Senator","21","GREGORY B FRAZIER",11087,"DEM","Total"
"2016","State Senator","21","GREGORY B FRAZIER",1369,"DEM","Absentee"
"2016","State Senator","21","GREGORY B FRAZIER",7912,"DEM","Early"
"2016","State Senator","21","GREGORY B FRAZIER",1806,"DEM","ElectionDay"
"2016","State Senator","22","BENNY SHENDO JR",12472,"DEM","Total"
"2016","State Senator","22","BENNY SHENDO JR",781,"DEM","Absentee"
"2016","State Senator","22","BENNY SHENDO JR",3416,"DEM","Early"
"2016","State Senator","22","BENNY SHENDO JR",8275,"DEM","ElectionDay"
"2016","State Senator","23","SANDER RUE",11794,"REP","Total"
"2016","State Senator","23","SANDER RUE",1048,"REP","Absentee"
"2016","State Senator","23","SANDER RUE",8245,"REP","Early"
"2016","State Senator","23","SANDER RUE",2501,"REP","ElectionDay"
"2016","State Senator","23","JOY I GARRATT",11001,"DEM","Total"
"2016","State Senator","23","JOY I GARRATT",933,"DEM","Absentee"
"2016","State Senator","23","JOY I GARRATT",7874,"DEM","Early"
"2016","State Senator","23","JOY I GARRATT",2194,"DEM","ElectionDay"
"2016","State Senator","24","NANCY RODRIGUEZ",16155,"DEM","Total"
"2016","State Senator","24","NANCY RODRIGUEZ",1154,"DEM","Absentee"
"2016","State Senator","24","NANCY RODRIGUEZ",9375,"DEM","Early"
"2016","State Senator","24","NANCY RODRIGUEZ",5626,"DEM","ElectionDay"
"2016","State Senator","25","PETER WIRTH",26958,"DEM","Total"
"2016","State Senator","25","PETER WIRTH",2440,"DEM","Absentee"
"2016","State Senator","25","PETER WIRTH",18075,"DEM","Early"
"2016","State Senator","25","PETER WIRTH",6443,"DEM","ElectionDay"
"2016","State Senator","26","JACOB CANDELARIA",11330,"DEM","Total"
"2016","State Senator","26","JACOB CANDELARIA",917,"DEM","Absentee"
"2016","State Senator","26","JACOB CANDELARIA",7407,"DEM","Early"
"2016","State Senator","26","JACOB CANDELARIA",3006,"DEM","ElectionDay"
"2016","State Senator","27","STUART INGLE",12589,"REP","Total"
"2016","State Senator","27","STUART INGLE",2648,"REP","Absentee"
"2016","State Senator","27","STUART INGLE",4932,"REP","Early"
"2016","State Senator","27","STUART INGLE",5009,"REP","ElectionDay"
"2016","State Senator","28","HOWIE C MORALES",15063,"DEM","Total"
"2016","State Senator","28","HOWIE C MORALES",3611,"DEM","Absentee"
"2016","State Senator","28","HOWIE C MORALES",5772,"DEM","Early"
"2016","State Senator","28","HOWIE C MORALES",5680,"DEM","ElectionDay"
"2016","State Senator","29","GREGORY A BACA",8965,"REP","Total"
"2016","State Senator","29","GREGORY A BACA",1639,"REP","Absentee"
"2016","State Senator","29","GREGORY A BACA",3880,"REP","Early"
"2016","State Senator","29","GREGORY A BACA",3446,"REP","ElectionDay"
"2016","State Senator","29","MICHAEL S SANCHEZ",7348,"DEM","Total"
"2016","State Senator","29","MICHAEL S SANCHEZ",1317,"DEM","Absentee"
"2016","State Senator","29","MICHAEL S SANCHEZ",3002,"DEM","Early"
"2016","State Senator","29","MICHAEL S SANCHEZ",3029,"DEM","ElectionDay"
"2016","State Senator","30","CLEMENTE SANCHEZ",11973,"DEM","Total"
"2016","State Senator","30","CLEMENTE SANCHEZ",1733,"DEM","Absentee"
"2016","State Senator","30","CLEMENTE SANCHEZ",4848,"DEM","Early"
"2016","State Senator","30","CLEMENTE SANCHEZ",5392,"DEM","ElectionDay"
"2016","State Senator","31","JOSEPH CERVANTES",9443,"DEM","Total"
"2016","State Senator","31","JOSEPH CERVANTES",322,"DEM","Absentee"
"2016","State Senator","31","JOSEPH CERVANTES",5008,"DEM","Early"
"2016","State Senator","31","JOSEPH CERVANTES",4113,"DEM","ElectionDay"
"2016","State Senator","32","CLIFF R PIRTLE",8480,"REP","Total"
"2016","State Senator","32","CLIFF R PIRTLE",1103,"REP","Absentee"
"2016","State Senator","32","CLIFF R PIRTLE",3681,"REP","Early"
"2016","State Senator","32","CLIFF R PIRTLE",3696,"REP","ElectionDay"
"2016","State Senator","33","WILLIAM F BURT",14648,"REP","Total"
"2016","State Senator","33","WILLIAM F BURT",1492,"REP","Absentee"
"2016","State Senator","33","WILLIAM F BURT",7997,"REP","Early"
"2016","State Senator","33","WILLIAM F BURT",5159,"REP","ElectionDay"
"2016","State Senator","34","RON GRIGGS",11542,"REP","Total"
"2016","State Senator","34","RON GRIGGS",784,"REP","Absentee"
"2016","State Senator","34","RON GRIGGS",6263,"REP","Early"
"2016","State Senator","34","RON GRIGGS",4495,"REP","ElectionDay"
"2016","State Senator","35","JOHN ARTHUR SMITH",12502,"DEM","Total"
"2016","State Senator","35","JOHN ARTHUR SMITH",999,"DEM","Absentee"
"2016","State Senator","35","JOHN ARTHUR SMITH",6942,"DEM","Early"
"2016","State Senator","35","JOHN ARTHUR SMITH",4561,"DEM","ElectionDay"
"2016","State Senator","36","JEFF STEINBORN",10579,"DEM","Total"
"2016","State Senator","36","JEFF STEINBORN",493,"DEM","Absentee"
"2016","State Senator","36","JEFF STEINBORN",6023,"DEM","Early"
"2016","State Senator","36","JEFF STEINBORN",4063,"DEM","ElectionDay"
"2016","State Senator","36","LEE S COTTER",7158,"REP","Total"
"2016","State Senator","36","LEE S COTTER",393,"REP","Absentee"
"2016","State Senator","36","LEE S COTTER",4259,"REP","Early"
"2016","State Senator","36","LEE S COTTER",2506,"REP","ElectionDay"
"2016","State Senator","37","CECELIA H LEVATINO",9131,"REP","Total"
"2016","State Senator","37","CECELIA H LEVATINO",521,"REP","Absentee"
"2016","State Senator","37","CECELIA H LEVATINO",5460,"REP","Early"
"2016","State Senator","37","CECELIA H LEVATINO",3150,"REP","ElectionDay"
"2016","State Senator","37","WILLIAM P SOULES",11374,"DEM","Total"
"2016","State Senator","37","WILLIAM P SOULES",630,"DEM","Absentee"
"2016","State Senator","37","WILLIAM P SOULES",6959,"DEM","Early"
"2016","State Senator","37","WILLIAM P SOULES",3785,"DEM","ElectionDay"
"2016","State Senator","38","MARY KAY PAPEN",9588,"DEM","Total"
"2016","State Senator","38","MARY KAY PAPEN",402,"DEM","Absentee"
"2016","State Senator","38","MARY KAY PAPEN",4986,"DEM","Early"
"2016","State Senator","38","MARY KAY PAPEN",4200,"DEM","ElectionDay"
"2016","State Senator","38","CHARLES R WENDLER",4713,"REP","Total"
"2016","State Senator","38","CHARLES R WENDLER",233,"REP","Absentee"
"2016","State Senator","38","CHARLES R WENDLER",2456,"REP","Early"
"2016","State Senator","38","CHARLES R WENDLER",2024,"REP","ElectionDay"
"2016","State Senator","39","(TED) THEODORE BARELA",9250,NA,"Total"
"2016","State Senator","39","(TED) THEODORE BARELA",1005,NA,"Absentee"
"2016","State Senator","39","(TED) THEODORE BARELA",3786,NA,"Early"
"2016","State Senator","39","(TED) THEODORE BARELA",4459,NA,"ElectionDay"
"2016","State Senator","39","ELIZABETH LIZ STEFANICS",9622,"DEM","Total"
"2016","State Senator","39","ELIZABETH LIZ STEFANICS",859,"DEM","Absentee"
"2016","State Senator","39","ELIZABETH LIZ STEFANICS",4501,"DEM","Early"
"2016","State Senator","39","ELIZABETH LIZ STEFANICS",4262,"DEM","ElectionDay"
"2016","State Senator","40","LINDA SANCHEZ ALLISON",10099,"DEM","Total"
"2016","State Senator","40","LINDA SANCHEZ ALLISON",903,"DEM","Absentee"
"2016","State Senator","40","LINDA SANCHEZ ALLISON",7277,"DEM","Early"
"2016","State Senator","40","LINDA SANCHEZ ALLISON",1919,"DEM","ElectionDay"
"2016","State Senator","40","CRAIG W BRANDT",12490,"REP","Total"
"2016","State Senator","40","CRAIG W BRANDT",1108,"REP","Absentee"
"2016","State Senator","40","CRAIG W BRANDT",9338,"REP","Early"
"2016","State Senator","40","CRAIG W BRANDT",2044,"REP","ElectionDay"
"2016","State Senator","41","CARROLL H LEAVELL",9006,"REP","Total"
"2016","State Senator","41","CARROLL H LEAVELL",488,"REP","Absentee"
"2016","State Senator","41","CARROLL H LEAVELL",4073,"REP","Early"
"2016","State Senator","41","CARROLL H LEAVELL",4445,"REP","ElectionDay"
"2016","State Senator","42","GAY G KERNAN",15206,"REP","Total"
"2016","State Senator","42","GAY G KERNAN",904,"REP","Absentee"
"2016","State Senator","42","GAY G KERNAN",9008,"REP","Early"
"2016","State Senator","42","GAY G KERNAN",5294,"REP","ElectionDay"
"2014","State Representative","1","RODNEY D MONTOYA",5971,"REP","Total"
"2014","State Representative","1","RODNEY D MONTOYA",483,"REP","Absentee"
"2014","State Representative","1","RODNEY D MONTOYA",2425,"REP","Early"
"2014","State Representative","1","RODNEY D MONTOYA",3063,"REP","ElectionDay"
"2014","State Representative","1","ALFRED GORDON GLASS JR",2231,"DEM","Total"
"2014","State Representative","1","ALFRED GORDON GLASS JR",177,"DEM","Absentee"
"2014","State Representative","1","ALFRED GORDON GLASS JR",935,"DEM","Early"
"2014","State Representative","1","ALFRED GORDON GLASS JR",1119,"DEM","ElectionDay"
"2014","State Representative","2","JAMES R J STRICKLER",3867,"REP","Total"
"2014","State Representative","2","JAMES R J STRICKLER",318,"REP","Absentee"
"2014","State Representative","2","JAMES R J STRICKLER",1591,"REP","Early"
"2014","State Representative","2","JAMES R J STRICKLER",1958,"REP","ElectionDay"
"2014","State Representative","2","NATHAN E THOMPSON",1179,"DEM","Total"
"2014","State Representative","2","NATHAN E THOMPSON",95,"DEM","Absentee"
"2014","State Representative","2","NATHAN E THOMPSON",432,"DEM","Early"
"2014","State Representative","2","NATHAN E THOMPSON",652,"DEM","ElectionDay"
"2014","State Representative","3","PAUL C BANDY",5168,"REP","Total"
"2014","State Representative","3","PAUL C BANDY",408,"REP","Absentee"
"2014","State Representative","3","PAUL C BANDY",2112,"REP","Early"
"2014","State Representative","3","PAUL C BANDY",2648,"REP","ElectionDay"
"2014","State Representative","4","HARRISON TODACHEENE",2549,"DEM","Total"
"2014","State Representative","4","HARRISON TODACHEENE",77,"DEM","Absentee"
"2014","State Representative","4","HARRISON TODACHEENE",834,"DEM","Early"
"2014","State Representative","4","HARRISON TODACHEENE",1638,"DEM","ElectionDay"
"2014","State Representative","4","SHARON CLAHCHISCHILLIAGE",3785,"REP","Total"
"2014","State Representative","4","SHARON CLAHCHISCHILLIAGE",172,"REP","Absentee"
"2014","State Representative","4","SHARON CLAHCHISCHILLIAGE",1223,"REP","Early"
"2014","State Representative","4","SHARON CLAHCHISCHILLIAGE",2390,"REP","ElectionDay"
"2014","State Representative","5","DOREEN W JOHNSON",4807,"DEM","Total"
"2014","State Representative","5","DOREEN W JOHNSON",125,"DEM","Absentee"
"2014","State Representative","5","DOREEN W JOHNSON",1044,"DEM","Early"
"2014","State Representative","5","DOREEN W JOHNSON",3638,"DEM","ElectionDay"
"2014","State Representative","5","SANDRA D JEFF (write in)",763,"DEM","Total"
"2014","State Representative","5","SANDRA D JEFF (write in)",58,"DEM","Absentee"
"2014","State Representative","5","SANDRA D JEFF (write in)",146,"DEM","Early"
"2014","State Representative","5","SANDRA D JEFF (write in)",559,"DEM","ElectionDay"
"2014","State Representative","6","ELISEO LEE ALCON",4512,"DEM","Total"
"2014","State Representative","6","ELISEO LEE ALCON",198,"DEM","Absentee"
"2014","State Representative","6","ELISEO LEE ALCON",1043,"DEM","Early"
"2014","State Representative","6","ELISEO LEE ALCON",3271,"DEM","ElectionDay"
"2014","State Representative","6","SHELLY C CHIMONI (write in)",69,"DEM","Total"
"2014","State Representative","6","SHELLY C CHIMONI (write in)",1,"DEM","Absentee"
"2014","State Representative","6","SHELLY C CHIMONI (write in)",22,"DEM","Early"
"2014","State Representative","6","SHELLY C CHIMONI (write in)",46,"DEM","ElectionDay"
"2014","State Representative","7","TERESA KE SMITH DE CHERIF",2642,"DEM","Total"
"2014","State Representative","7","TERESA KE SMITH DE CHERIF",428,"DEM","Absentee"
"2014","State Representative","7","TERESA KE SMITH DE CHERIF",842,"DEM","Early"
"2014","State Representative","7","TERESA KE SMITH DE CHERIF",1372,"DEM","ElectionDay"
"2014","State Representative","7","KELLY K FAJARDO",3514,"REP","Total"
"2014","State Representative","7","KELLY K FAJARDO",536,"REP","Absentee"
"2014","State Representative","7","KELLY K FAJARDO",1065,"REP","Early"
"2014","State Representative","7","KELLY K FAJARDO",1913,"REP","ElectionDay"
"2014","State Representative","8","ALONZO BALDONADO",4770,"REP","Total"
"2014","State Representative","8","ALONZO BALDONADO",661,"REP","Absentee"
"2014","State Representative","8","ALONZO BALDONADO",1905,"REP","Early"
"2014","State Representative","8","ALONZO BALDONADO",2204,"REP","ElectionDay"
"2014","State Representative","8","FRANK A OTERO",3353,"DEM","Total"
"2014","State Representative","8","FRANK A OTERO",583,"DEM","Absentee"
"2014","State Representative","8","FRANK A OTERO",1376,"DEM","Early"
"2014","State Representative","8","FRANK A OTERO",1394,"DEM","ElectionDay"
"2014","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",4437,"DEM","Total"
"2014","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",112,"DEM","Absentee"
"2014","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",974,"DEM","Early"
"2014","State Representative","9","PATRICIA 'PATTY' A LUNDSTROM",3351,"DEM","ElectionDay"
"2014","State Representative","10","G ANDRES ROMERO",2463,"DEM","Total"
"2014","State Representative","10","G ANDRES ROMERO",337,"DEM","Absentee"
"2014","State Representative","10","G ANDRES ROMERO",973,"DEM","Early"
"2014","State Representative","10","G ANDRES ROMERO",1153,"DEM","ElectionDay"
"2014","State Representative","10","ROBERT A SCHILLER",1779,"IND","Total"
"2014","State Representative","10","ROBERT A SCHILLER",248,"IND","Absentee"
"2014","State Representative","10","ROBERT A SCHILLER",678,"IND","Early"
"2014","State Representative","10","ROBERT A SCHILLER",853,"IND","ElectionDay"
"2014","State Representative","11","JAVIER I MARTINEZ",6413,"DEM","Total"
"2014","State Representative","11","JAVIER I MARTINEZ",779,"DEM","Absentee"
"2014","State Representative","11","JAVIER I MARTINEZ",2815,"DEM","Early"
"2014","State Representative","11","JAVIER I MARTINEZ",2819,"DEM","ElectionDay"
"2014","State Representative","12","PATRICIO R RUILOBA",2779,"DEM","Total"
"2014","State Representative","12","PATRICIO R RUILOBA",371,"DEM","Absentee"
"2014","State Representative","12","PATRICIO R RUILOBA",1095,"DEM","Early"
"2014","State Representative","12","PATRICIO R RUILOBA",1313,"DEM","ElectionDay"
"2014","State Representative","13","PATRICIA A ROYBAL CABALLERO",2524,"DEM","Total"
