"Year","Type","NAME","Candidate","Votes","Party","Cast"
"2018","State Representative","27","WILLIAM B PRATT",7199,"DEM","Total"
"2018","State Representative","27","WILLIAM B PRATT",803,"DEM","Absentee"
"2018","State Representative","27","WILLIAM B PRATT",4823,"DEM","Early"
"2018","State Representative","27","WILLIAM B PRATT",1573,"DEM","ElectionDay"
"2018","State Representative","27","ROBERT S GODSHALL",7006,"REP","Total"
"2018","State Representative","27","ROBERT S GODSHALL",881,"REP","Absentee"
"2018","State Representative","27","ROBERT S GODSHALL",4376,"REP","Early"
"2018","State Representative","27","ROBERT S GODSHALL",1749,"REP","ElectionDay"
"2018","State Representative","28","JIMMIE C HALL",6326,"REP","Total"
"2018","State Representative","28","JIMMIE C HALL",778,"REP","Absentee"
"2018","State Representative","28","JIMMIE C HALL",3999,"REP","Early"
"2018","State Representative","28","JIMMIE C HALL",1549,"REP","ElectionDay"
"2018","State Representative","28","MELANIE ANN STANSBURY",7335,"DEM","Total"
"2018","State Representative","28","MELANIE ANN STANSBURY",767,"DEM","Absentee"
"2018","State Representative","28","MELANIE ANN STANSBURY",4827,"DEM","Early"
"2018","State Representative","28","MELANIE ANN STANSBURY",1741,"DEM","ElectionDay"
"2018","State Representative","29","DAVID E ADKINS",6184,"REP","Total"
"2018","State Representative","29","DAVID E ADKINS",512,"REP","Absentee"
"2018","State Representative","29","DAVID E ADKINS",3632,"REP","Early"
"2018","State Representative","29","DAVID E ADKINS",2040,"REP","ElectionDay"
"2018","State Representative","29","JOY I GARRATT",7296,"DEM","Total"
"2018","State Representative","29","JOY I GARRATT",524,"DEM","Absentee"
"2018","State Representative","29","JOY I GARRATT",4758,"DEM","Early"
"2018","State Representative","29","JOY I GARRATT",2014,"DEM","ElectionDay"
"2018","State Representative","30","NATALIE R FIGUEROA",6773,"DEM","Total"
"2018","State Representative","30","NATALIE R FIGUEROA",596,"DEM","Absentee"
"2018","State Representative","30","NATALIE R FIGUEROA",4448,"DEM","Early"
"2018","State Representative","30","NATALIE R FIGUEROA",1729,"DEM","ElectionDay"
"2018","State Representative","30","JOHN L JONES",4898,"REP","Total"
"2018","State Representative","30","JOHN L JONES",659,"REP","Absentee"
"2018","State Representative","30","JOHN L JONES",2884,"REP","Early"
"2018","State Representative","30","JOHN L JONES",1355,"REP","ElectionDay"
"2018","State Representative","31","WILLIAM R REHM",9675,"REP","Total"
"2018","State Representative","31","WILLIAM R REHM",1386,"REP","Absentee"
"2018","State Representative","31","WILLIAM R REHM",6267,"REP","Early"
"2018","State Representative","31","WILLIAM R REHM",2022,"REP","ElectionDay"
"2018","State Representative","31","WILLIAM ARNOLD WILEY JR",5377,"LIB","Total"
"2018","State Representative","31","WILLIAM ARNOLD WILEY JR",567,"LIB","Absentee"
"2018","State Representative","31","WILLIAM ARNOLD WILEY JR",3758,"LIB","Early"
"2018","State Representative","31","WILLIAM ARNOLD WILEY JR",1052,"LIB","ElectionDay"
"2018","State Representative","32","LAURA C BOYD",2721,"REP","Total"
"2018","State Representative","32","LAURA C BOYD",297,"REP","Absentee"
"2018","State Representative","32","LAURA C BOYD",1414,"REP","Early"
"2018","State Representative","32","LAURA C BOYD",1010,"REP","ElectionDay"
"2018","State Representative","32","CANDIE G SWEETSER",4846,"DEM","Total"
"2018","State Representative","32","CANDIE G SWEETSER",711,"DEM","Absentee"
"2018","State Representative","32","CANDIE G SWEETSER",2109,"DEM","Early"
"2018","State Representative","32","CANDIE G SWEETSER",2026,"DEM","ElectionDay"
"2018","State Representative","33","MICAELA LARA CADENA",5781,"DEM","Total"
"2018","State Representative","33","MICAELA LARA CADENA",1042,"DEM","Absentee"
"2018","State Representative","33","MICAELA LARA CADENA",2619,"DEM","Early"
"2018","State Representative","33","MICAELA LARA CADENA",2120,"DEM","ElectionDay"
"2018","State Representative","33","CHARLES R WENDLER",3061,"REP","Total"
"2018","State Representative","33","CHARLES R WENDLER",287,"REP","Absentee"
"2018","State Representative","33","CHARLES R WENDLER",1607,"REP","Early"
"2018","State Representative","33","CHARLES R WENDLER",1167,"REP","ElectionDay"
"2018","State Representative","34","RAYMUNDO LARA",4635,"DEM","Total"
"2018","State Representative","34","RAYMUNDO LARA",571,"DEM","Absentee"
"2018","State Representative","34","RAYMUNDO LARA",1764,"DEM","Early"
"2018","State Representative","34","RAYMUNDO LARA",2300,"DEM","ElectionDay"
"2018","State Representative","35","JONATHAN KYLE ALLEN",3159,"REP","Total"
"2018","State Representative","35","JONATHAN KYLE ALLEN",348,"REP","Absentee"
"2018","State Representative","35","JONATHAN KYLE ALLEN",1659,"REP","Early"
"2018","State Representative","35","JONATHAN KYLE ALLEN",1152,"REP","ElectionDay"
"2018","State Representative","35","ANGELICA RUBIO",5778,"DEM","Total"
"2018","State Representative","35","ANGELICA RUBIO",1154,"DEM","Absentee"
"2018","State Representative","35","ANGELICA RUBIO",2605,"DEM","Early"
"2018","State Representative","35","ANGELICA RUBIO",2019,"DEM","ElectionDay"
"2018","State Representative","36","DAVID H TOFSTED",3442,"REP","Total"
"2018","State Representative","36","DAVID H TOFSTED",256,"REP","Absentee"
"2018","State Representative","36","DAVID H TOFSTED",1747,"REP","Early"
"2018","State Representative","36","DAVID H TOFSTED",1439,"REP","ElectionDay"
"2018","State Representative","36","NATHAN P SMALL",5262,"DEM","Total"
"2018","State Representative","36","NATHAN P SMALL",925,"DEM","Absentee"
"2018","State Representative","36","NATHAN P SMALL",2179,"DEM","Early"
"2018","State Representative","36","NATHAN P SMALL",2158,"DEM","ElectionDay"
"2018","State Representative","37","JOANNE J FERRARY",7741,"DEM","Total"
"2018","State Representative","37","JOANNE J FERRARY",1372,"DEM","Absentee"
"2018","State Representative","37","JOANNE J FERRARY",4097,"DEM","Early"
"2018","State Representative","37","JOANNE J FERRARY",2272,"DEM","ElectionDay"
"2018","State Representative","37","BEV COURTNEY",5219,"REP","Total"
"2018","State Representative","37","BEV COURTNEY",538,"REP","Absentee"
"2018","State Representative","37","BEV COURTNEY",2778,"REP","Early"
"2018","State Representative","37","BEV COURTNEY",1903,"REP","ElectionDay"
"2018","State Representative","38","REBECCA L DOW",6634,"REP","Total"
"2018","State Representative","38","REBECCA L DOW",1315,"REP","Absentee"
"2018","State Representative","38","REBECCA L DOW",2813,"REP","Early"
"2018","State Representative","38","REBECCA L DOW",2506,"REP","ElectionDay"
"2018","State Representative","38","KAREN C WHITLOCK",5593,"DEM","Total"
"2018","State Representative","38","KAREN C WHITLOCK",1841,"DEM","Absentee"
"2018","State Representative","38","KAREN C WHITLOCK",2225,"DEM","Early"
"2018","State Representative","38","KAREN C WHITLOCK",1527,"DEM","ElectionDay"
"2018","State Representative","39","LEE S COTTER",3812,"REP","Total"
"2018","State Representative","39","LEE S COTTER",477,"REP","Absentee"
"2018","State Representative","39","LEE S COTTER",1880,"REP","Early"
"2018","State Representative","39","LEE S COTTER",1455,"REP","ElectionDay"
"2018","State Representative","39","RODOLPHO S MARTINEZ",5282,"DEM","Total"
"2018","State Representative","39","RODOLPHO S MARTINEZ",991,"DEM","Absentee"
"2018","State Representative","39","RODOLPHO S MARTINEZ",2260,"DEM","Early"
"2018","State Representative","39","RODOLPHO S MARTINEZ",2031,"DEM","ElectionDay"
"2018","State Representative","40","JOSEPH L SANCHEZ",8277,"DEM","Total"
"2018","State Representative","40","JOSEPH L SANCHEZ",498,"DEM","Absentee"
"2018","State Representative","40","JOSEPH L SANCHEZ",2648,"DEM","Early"
"2018","State Representative","40","JOSEPH L SANCHEZ",5131,"DEM","ElectionDay"
"2018","State Representative","40","T TWEETI BLANCETT",1973,"IND","Total"
"2018","State Representative","40","T TWEETI BLANCETT",170,"IND","Absentee"
"2018","State Representative","40","T TWEETI BLANCETT",571,"IND","Early"
"2018","State Representative","40","T TWEETI BLANCETT",1232,"IND","ElectionDay"
"2018","State Representative","41","SUSAN K HERRERA",7939,"DEM","Total"
"2018","State Representative","41","SUSAN K HERRERA",371,"DEM","Absentee"
"2018","State Representative","41","SUSAN K HERRERA",3513,"DEM","Early"
"2018","State Representative","41","SUSAN K HERRERA",4055,"DEM","ElectionDay"
"2018","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",10433,"DEM","Total"
"2018","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",537,"DEM","Absentee"
"2018","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",6015,"DEM","Early"
"2018","State Representative","42","ROBERTO 'BOBBY' JESSE GONZALES",3881,"DEM","ElectionDay"
"2018","State Representative","43","LISA SHIN",5076,"REP","Total"
"2018","State Representative","43","LISA SHIN",294,"REP","Absentee"
"2018","State Representative","43","LISA SHIN",2531,"REP","Early"
"2018","State Representative","43","LISA SHIN",2251,"REP","ElectionDay"
"2018","State Representative","43","CHRISTINE CHANDLER",8311,"DEM","Total"
"2018","State Representative","43","CHRISTINE CHANDLER",586,"DEM","Absentee"
"2018","State Representative","43","CHRISTINE CHANDLER",4937,"DEM","Early"
"2018","State Representative","43","CHRISTINE CHANDLER",2788,"DEM","ElectionDay"
"2018","State Representative","44","BENTON HOWELL",6712,"DEM","Total"
"2018","State Representative","44","BENTON HOWELL",643,"DEM","Absentee"
"2018","State Representative","44","BENTON HOWELL",4602,"DEM","Early"
"2018","State Representative","44","BENTON HOWELL",1467,"DEM","ElectionDay"
"2018","State Representative","44","JANE E POWDRELL-CULBERT",8116,"REP","Total"
"2018","State Representative","44","JANE E POWDRELL-CULBERT",790,"REP","Absentee"
"2018","State Representative","44","JANE E POWDRELL-CULBERT",5224,"REP","Early"
"2018","State Representative","44","JANE E POWDRELL-CULBERT",2102,"REP","ElectionDay"
"2018","State Representative","45","JIM R TRUJILLO",9590,"DEM","Total"
"2018","State Representative","45","JIM R TRUJILLO",557,"DEM","Absentee"
"2018","State Representative","45","JIM R TRUJILLO",5883,"DEM","Early"
"2018","State Representative","45","JIM R TRUJILLO",3150,"DEM","ElectionDay"
"2018","State Representative","46","ANDREA D ROMERO",8624,"DEM","Total"
"2018","State Representative","46","ANDREA D ROMERO",582,"DEM","Absentee"
"2018","State Representative","46","ANDREA D ROMERO",4875,"DEM","Early"
"2018","State Representative","46","ANDREA D ROMERO",3167,"DEM","ElectionDay"
"2018","State Representative","46","HEATHER NORDQUIST (write in)",2865,"DEM","Total"
"2018","State Representative","46","HEATHER NORDQUIST (write in)",159,"DEM","Absentee"
"2018","State Representative","46","HEATHER NORDQUIST (write in)",1601,"DEM","Early"
"2018","State Representative","46","HEATHER NORDQUIST (write in)",1105,"DEM","ElectionDay"
"2018","State Representative","47","BRIAN F EGOLF JR",14481,"DEM","Total"
"2018","State Representative","47","BRIAN F EGOLF JR",1230,"DEM","Absentee"
"2018","State Representative","47","BRIAN F EGOLF JR",9032,"DEM","Early"
"2018","State Representative","47","BRIAN F EGOLF JR",4219,"DEM","ElectionDay"
"2018","State Representative","48","LINDA M TRUJILLO",10759,"DEM","Total"
"2018","State Representative","48","LINDA M TRUJILLO",828,"DEM","Absentee"
"2018","State Representative","48","LINDA M TRUJILLO",6437,"DEM","Early"
"2018","State Representative","48","LINDA M TRUJILLO",3494,"DEM","ElectionDay"
"2018","State Representative","49","GAIL 'MISSY' ARMSTRONG",7498,"REP","Total"
"2018","State Representative","49","GAIL 'MISSY' ARMSTRONG",1053,"REP","Absentee"
"2018","State Representative","49","GAIL 'MISSY' ARMSTRONG",2908,"REP","Early"
"2018","State Representative","49","GAIL 'MISSY' ARMSTRONG",3537,"REP","ElectionDay"
"2018","State Representative","50","MATTHEW MCQUEEN",7490,"DEM","Total"
"2018","State Representative","50","MATTHEW MCQUEEN",751,"DEM","Absentee"
